PROV,MUN,sg110,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
21,06,20,4353.2188458,4018.35585766,861.076255213,8.0,2106
21,06,36,4353.2188458,4018.35585766,861.076255213,8.0,2106
21,06,45,1435.12709202,1435.12709202,,,2106
21,06,52,1160.85835888,1151.9286792,,7.66666666667,2106
21,06,60,1148.10167362,1148.10167362,167.431494069,7.0,2106
21,06,74,3252.95474192,3061.60446298,62.1888406543,8.66666666667,2106
21,06,90,1291.61438282,1284.43874736,302.23776558,5.5,2106
21,06,93,373.133043926,370.262789742,229.620334724,12.0,2106
21,07,01,2487.55362617,2468.41859828,100.458896442,6.0,2107
21,07,05,2487.55362617,2468.41859828,100.458896442,6.0,2107
21,07,1,2698.038933,2690.86329754,1435.12709202,4.5,2107
21,07,17,1435.12709202,1435.12709202,,,2107
21,07,18,1435.12709202,1435.12709202,,,2107
21,07,25,3996.11138774,3996.11138774,,7.5,2107
21,07,29,2296.20334724,,,13.0,2107
21,07,30,2296.20334724,,,13.0,2107
21,07,31,2296.20334724,,,13.0,2107
21,07,32,2296.20334724,,,13.0,2107
21,07,33,2296.20334724,,,13.0,2107
21,07,34,2296.20334724,,,13.0,2107
21,07,35,2296.20334724,,,13.0,2107
21,07,36,2296.20334724,,,13.0,2107
21,07,40,2521.63789461,2520.62134625,502.294482208,8.0,2107
21,07,45,3731.33043926,3731.33043926,47.8375697341,5.0,2107
21,07,5,1865.66521963,1851.31394871,1435.12709202,7.0,2107
21,07,50,3779.16800899,3774.38425202,,11.0,2107
21,07,52,1548.74132014,1506.88344662,310.944203271,8.75,2107
21,07,60,2487.55362617,3444.30502085,1865.66521963,7.33333333333,2107
21,07,63,1865.66521963,3444.30502085,1865.66521963,11.5,2107
21,07,65,1722.15251043,1722.15251043,,8.0,2107
21,07,74,2854.30832747,2774.57904458,1435.12709202,9.33333333333,2107
21,07,90,1443.10002031,1442.30272748,1351.41134499,6.0,2107
21,07,91,3587.81773005,3587.81773005,382.700557873,6.0,2107
21,07,93,1824.20599253,1817.82764989,2691.94761579,6.0,2107
21,08,01,497.510725234,493.683719656,,5.0,2108
21,08,05,497.510725234,493.683719656,,5.0,2108
21,08,1,1729.80652158,1692.87591775,746.266087851,1.8,2108
21,08,10,688.861004171,688.861004171,,5.0,2108
21,08,11,688.861004171,688.861004171,,5.0,2108
21,08,12,688.861004171,688.861004171,,5.0,2108
21,08,13,688.861004171,688.861004171,,5.0,2108
21,08,14,688.861004171,688.861004171,,5.0,2108
21,08,40,1865.66521963,1722.15251043,,9.0,2108
21,08,52,3444.30502085,3444.30502085,,7.5,2108
21,08,90,1234.20929914,1645.61239885,,5.66666666667,2108
22,01,01,1739.10364927,1761.96020238,4865.66172673,4.71428571429,2201
