PROVINCE,MUNICIPIO,ISIC,SIZE,EMPRESAS,MUNICINUM,PROVNUM
1,101,'7230,10-49,1,3121,3121
1,101,'7240,1-9,1,8021,8021
1,101,'7250,1-9,27,8021,8021
1,101,'7250,10-49,7,3121,3121
1,101,'7250,50-99,1,484,484
1,101,'7290,1-9,22,8021,8021
1,101,'7290,10-49,9,3121,3121
1,101,'7290,250-,1,248,248
1,101,'7310,1-9,4,8021,8021
1,101,'7310,10-49,1,3121,3121
1,101,'7310,100-249,1,298,298
1,101,'7320,1-9,6,8021,8021
1,101,'7320,10-49,2,3121,3121
1,101,'7411,1-9,209,8021,8021
1,101,'7411,10-49,62,3121,3121
1,101,'7411,100-249,4,298,298
1,101,'7411,50-99,8,484,484
1,101,'7412,1-9,61,8021,8021
1,101,'7412,10-49,18,3121,3121
1,101,'7412,50-99,1,484,484
1,101,'7413,1-9,4,8021,8021
1,101,'7413,10-49,5,3121,3121
1,101,'7413,50-99,2,484,484
1,101,'7414,1-9,38,8021,8021
1,101,'7414,10-49,9,3121,3121
1,101,'7414,100-249,1,298,298
1,101,'7414,250-,2,248,248
1,101,'7421,1-9,163,8021,8021
1,101,'7421,10-49,56,3121,3121
1,101,'7421,100-249,4,298,298
1,101,'7421,250-,2,248,248
1,101,'7421,50-99,3,484,484
1,101,'7422,10-49,2,3121,3121
1,101,'7430,1-9,139,8021,8021
1,101,'7430,10-49,69,3121,3121
1,101,'7430,100-249,1,298,298
1,101,'7430,250-,1,248,248
1,101,'7430,50-99,10,484,484
1,101,'7491,1-9,4,8021,8021
1,101,'7491,10-49,1,3121,3121
1,101,'7491,100-249,1,298,298
1,101,'7492,1-9,47,8021,8021
1,101,'7492,10-49,32,3121,3121
1,101,'7492,100-249,12,298,298
1,101,'7492,250-,15,248,248
1,101,'7492,50-99,13,484,484
1,101,'7493,1-9,28,8021,8021
1,101,'7493,10-49,10,3121,3121
1,101,'7493,100-249,3,298,298
1,101,'7493,250-,4,248,248
1,101,'7493,50-99,3,484,484
1,101,'7494,1-9,15,8021,8021
1,101,'7494,10-49,3,3121,3121
1,101,'7495,1-9,2,8021,8021
1,101,'7495,50-99,1,484,484
1,101,'7499,1-9,50,8021,8021
1,101,'7499,10-49,13,3121,3121
1,101,'7499,100-249,2,298,298
1,101,'7499,250-,3,248,248
1,101,'7499,50-99,2,484,484
1,101,'8010,1-9,11,8021,8021
1,101,'8010,10-49,37,3121,3121
1,101,'8010,100-249,5,298,298
1,101,'8010,250-,3,248,248
1,101,'8010,50-99,13,484,484
1,101,'8021,1-9,7,8021,8021
1,101,'8021,10-49,11,3121,3121
1,101,'8021,50-99,3,484,484
1,101,'8022,1-9,13,8021,8021
1,101,'8022,10-49,11,3121,3121
1,101,'8022,100-249,1,298,298
1,101,'8022,250-,3,248,248
1,101,'8022,50-99,4,484,484
1,101,'8030,1-9,8,8021,8021
1,101,'8030,10-49,2,3121,3121
1,101,'8030,100-249,3,298,298
1,101,'8030,250-,7,248,248
1,101,'8030,50-99,3,484,484
1,101,'8090,1-9,24,8021,8021
1,101,'8090,10-49,13,3121,3121
1,101,'8090,100-249,1,298,298
1,101,'8090,250-,1,248,248
1,101,'8090,50-99,2,484,484
1,101,'8511,1-9,97,8021,8021
1,101,'8511,10-49,50,3121,3121
1,101,'8511,100-249,16,298,298
1,101,'8511,250-,12,248,248
